defect_id,product_id,defect_date,defect_type,severity,defect_location,inspection_method,repair_cost
D00327,P001,2024-08-16,Functional,Minor,Surface,Visual Inspection,59.191608575938545
D00328,P003,2024-04-20,Functional,Minor,Internal,Manual Testing,34.198766552395156
D00329,P001,2024-05-15,Cosmetic,Moderate,Component,Visual Inspection,162.5738623582517
D00330,P003,2024-12-27,Cosmetic,Minor,Surface,Manual Testing,78.71047030800179
D00331,P002,2024-07-04,Cosmetic,Minor,Surface,Visual Inspection,47.1397639885498
D00332,P002,2024-05-23,Functional,Minor,Surface,Visual Inspection,53.26149309769584
D00333,P001,2024-03-12,Cosmetic,Minor,Surface,Manual Testing,63.05101596033131
D00334,P003,2024-05-08,Cosmetic,Minor,Surface,Automated Testing,57.43522831958907
D00335,P002,2024-12-29,Cosmetic,Minor,Surface,Visual Inspection,52.256283577153646
D00336,P001,2024-09-17,Cosmetic,Minor,Internal,Automated Testing,55.47441503699338
D00337,P001,2024-01-03,Structural,Critical,Component,Visual Inspection,1376.819740457186
D00338,P002,2024-04-13,Functional,Minor,Component,Visual Inspection,49.13571804449622
D00339,P002,2024-08-11,Cosmetic,Minor,Surface,Visual Inspection,53.016485700724516
D00340,P001,2024-11-15,Cosmetic,Moderate,Component,Visual Inspection,263.0392637604567
D00341,P003,2024-12-27,Cosmetic,Minor,Component,Automated Testing,66.58288899436975
D00342,P003,2024-12-19,Cosmetic,Moderate,Component,Automated Testing,271.2218183336228
D00343,P003,2024-01-10,Cosmetic,Minor,Surface,Visual Inspection,59.580953330437765
D00344,P001,2024-10-28,Cosmetic,Critical,Surface,Visual Inspection,525.6788209446839
D00345,P002,2024-08-18,Cosmetic,Minor,Component,Automated Testing,74.50147298451644
D00346,P001,2024-08-06,Functional,Minor,Component,Manual Testing,32.804819104719684
D00347,P002,2024-03-06,Functional,Minor,Surface,Manual Testing,54.5395319785855
D00348,P003,2024-04-21,Cosmetic,Critical,Internal,Automated Testing,618.9737959953541
D00349,P003,2024-01-13,Cosmetic,Minor,Component,Visual Inspection,49.03792480110511
D00350,P002,2024-03-26,Functional,Minor,Internal,Visual Inspection,54.93143615455221
D00351,P002,2024-08-21,Functional,Minor,Component,Manual Testing,54.8203582317541
D00352,P001,2024-03-30,Structural,Moderate,Internal,Manual Testing,225.3152452541171
D00353,P003,2024-11-09,Functional,Minor,Internal,Automated Testing,74.20566903587971
D00354,P001,2024-02-23,Cosmetic,Moderate,Internal,Manual Testing,227.21205809083878
D00355,P001,2024-01-12,Cosmetic,Minor,Surface,Automated Testing,46.33765047064027
D00356,P001,2024-07-27,Functional,Minor,Internal,Manual Testing,64.46130752432536
D00357,P003,2024-01-14,Cosmetic,Minor,Internal,Manual Testing,67.8420573338696
D00358,P001,2024-04-30,Functional,Minor,Internal,Manual Testing,31.585882772945112
D00359,P001,2024-01-20,Structural,Minor,Component,Visual Inspection,58.96100104774787
D00360,P001,2024-03-15,Functional,Minor,Internal,Visual Inspection,60.517591134663476
D00361,P001,2024-08-30,Cosmetic,Moderate,Component,Visual Inspection,182.14618979840048
D00362,P001,2024-08-10,Functional,Minor,Internal,Manual Testing,70.6356021996743
D00363,P001,2024-03-10,Cosmetic,Minor,Internal,Automated Testing,47.7491661945121
D00364,P003,2024-11-07,Functional,Minor,Surface,Automated Testing,51.88364680207313
D00365,P001,2024-07-29,Structural,Minor,Component,Automated Testing,47.40392263574196
D00366,P002,2024-04-10,Cosmetic,Minor,Internal,Automated Testing,50.23368571372201
D00367,P001,2024-07-04,Structural,Minor,Component,Visual Inspection,33.55587369657197
D00368,P001,2024-05-11,Structural,Minor,Component,Visual Inspection,28.399236761085586
D00369,P003,2024-04-20,Cosmetic,Moderate,Surface,Manual Testing,295.6703037934983
D00370,P003,2024-05-11,Cosmetic,Critical,Surface,Manual Testing,596.7292764036013
D00371,P002,2024-01-20,Cosmetic,Minor,Surface,Automated Testing,35.129114758155396
D00372,P002,2024-01-24,Cosmetic,Minor,Surface,Visual Inspection,17.699148295944276
D00373,P003,2024-08-14,Cosmetic,Moderate,Surface,Automated Testing,161.66229513862987
D00374,P003,2024-06-02,Functional,Minor,Surface,Manual Testing,30.153653098887524
D00375,P001,2024-10-19,Cosmetic,Minor,Surface,Manual Testing,74.63022740204553
D00376,P003,2024-08-17,Cosmetic,Minor,Surface,Automated Testing,65.1472563401395
D00377,P002,2024-11-05,Structural,Moderate,Internal,Manual Testing,158.71097928933656
D00378,P001,2024-12-24,Cosmetic,Moderate,Component,Automated Testing,335.14614832065854
D00379,P002,2024-07-20,Structural,Minor,Surface,Visual Inspection,64.72648230487391
D00380,P001,2024-02-07,Cosmetic,Minor,Surface,Automated Testing,45.12752924737066
D00381,P003,2024-09-16,Cosmetic,Minor,Component,Visual Inspection,12.508914276896405
D00382,P002,2024-07-06,Functional,Moderate,Internal,Visual Inspection,337.4565543554445
D00383,P001,2024-02-26,Functional,Minor,Component,Manual Testing,29.15641299854606
D00384,P001,2024-01-20,Structural,Minor,Component,Manual Testing,25.319018795646624
D00385,P003,2024-09-29,Functional,Moderate,Surface,Manual Testing,261.3542259205784
D00386,P003,2024-04-28,Structural,Minor,Component,Automated Testing,86.59628609508908
D00387,P003,2024-03-11,Cosmetic,Moderate,Component,Automated Testing,283.05636911063107
D00388,P002,2024-01-04,Cosmetic,Minor,Surface,Manual Testing,58.45863680078539
D00389,P001,2024-08-08,Functional,Minor,Surface,Automated Testing,58.92131512497929
D00390,P003,2024-01-14,Structural,Minor,Surface,Manual Testing,62.80123338170462
D00391,P002,2024-01-03,Structural,Moderate,Surface,Automated Testing,245.53571538720593
D00392,P002,2024-08-03,Cosmetic,Moderate,Component,Visual Inspection,216.87148543816255
D00393,P002,2024-08-16,Cosmetic,Moderate,Component,Visual Inspection,206.25206623711256
D00394,P003,2024-12-01,Functional,Minor,Internal,Manual Testing,49.06110308150716
D00395,P003,2024-07-04,Cosmetic,Moderate,Internal,Automated Testing,154.76212466799942
D00396,P001,2024-02-24,Structural,Minor,Component,Automated Testing,45.78987384699839
D00397,P001,2024-09-10,Structural,Minor,Internal,Visual Inspection,24.605647787069216
D00398,P003,2024-01-24,Cosmetic,Moderate,Component,Visual Inspection,194.099622392315
D00399,P002,2024-06-10,Functional,Minor,Internal,Manual Testing,35.17113339273624
D00400,P002,2024-06-06,Functional,Minor,Surface,Visual Inspection,33.44616024176344
D00401,P002,2024-03-22,Cosmetic,Minor,Internal,Manual Testing,52.698412267302174
D00402,P001,2024-06-07,Structural,Minor,Surface,Visual Inspection,70.880034295169
D00403,P002,2024-07-06,Functional,Minor,Surface,Visual Inspection,63.774749090034696
D00404,P001,2024-02-29,Structural,Minor,Surface,Automated Testing,26.442490945652345
D00405,P001,2024-10-31,Cosmetic,Minor,Surface,Visual Inspection,35.15557795144494
D00406,P002,2024-11-14,Structural,Moderate,Internal,Visual Inspection,256.44627127929294
D00407,P002,2024-07-29,Cosmetic,Moderate,Component,Manual Testing,141.05075638770143
D00408,P003,2024-05-31,Cosmetic,Minor,Surface,Visual Inspection,46.63050275004463
D00409,P003,2024-04-18,Structural,Minor,Internal,Manual Testing,58.25078148536828
D00410,P002,2024-03-16,Cosmetic,Minor,Surface,Visual Inspection,35.47483317704547
D00411,P001,2024-01-30,Cosmetic,Minor,Internal,Visual Inspection,51.580632592189396
D00412,P001,2024-11-09,Structural,Minor,Internal,Manual Testing,29.989617576226934
D00413,P001,2024-04-26,Structural,Moderate,Internal,Automated Testing,163.9179413629272
D00414,P001,2024-12-21,Functional,Minor,Component,Manual Testing,54.79672901213806
D00415,P001,2024-07-10,Functional,Minor,Internal,Manual Testing,26.105093997024962
D00416,P003,2024-01-19,Cosmetic,Minor,Internal,Manual Testing,56.607121069405984
D00417,P002,2024-06-21,Cosmetic,Minor,Component,Automated Testing,49.70543301609978
D00418,P003,2024-08-15,Cosmetic,Critical,Component,Visual Inspection,932.5975890601155
D00419,P001,2024-12-15,Functional,Moderate,Internal,Manual Testing,213.4348480438797
D00420,P001,2024-07-01,Functional,Minor,Component,Manual Testing,70.46210644960766
D00421,P001,2024-04-22,Functional,Moderate,Surface,Automated Testing,207.51347015887444
D00422,P001,2024-07-01,Functional,Minor,Surface,Manual Testing,43.558916883121206
D00423,P002,2024-05-25,Cosmetic,Moderate,Component,Visual Inspection,207.33785018193703
D00424,P001,2024-11-14,Cosmetic,Moderate,Component,Automated Testing,232.5978817421833
D00425,P002,2024-04-25,Cosmetic,Minor,Internal,Visual Inspection,50.732901054885566
D00426,P001,2024-04-22,Functional,Minor,Component,Visual Inspection,50.608875368058236
D00427,P002,2024-09-07,Cosmetic,Minor,Internal,Automated Testing,39.47012468289867
D00428,P003,2024-09-07,Structural,Minor,Surface,Manual Testing,40.05648623673578
D00429,P001,2024-10-29,Cosmetic,Moderate,Component,Visual Inspection,115.84368369201839
D00430,P002,2024-11-08,Cosmetic,Minor,Internal,Visual Inspection,76.24365114780409
D00431,P003,2024-04-27,Cosmetic,Minor,Internal,Visual Inspection,31.342051469130723
D00432,P001,2024-10-27,Functional,Moderate,Surface,Visual Inspection,158.42568813224557
D00433,P001,2024-06-09,Functional,Critical,Component,Automated Testing,627.5822562633927
D00434,P001,2024-07-16,Cosmetic,Minor,Surface,Automated Testing,63.42386565416662
D00435,P002,2024-09-16,Cosmetic,Minor,Internal,Visual Inspection,45.57575482561958
D00436,P002,2024-05-27,Functional,Minor,Internal,Manual Testing,68.716131090106
D00437,P003,2024-08-27,Cosmetic,Minor,Component,Visual Inspection,39.897640636341976
D00438,P002,2024-02-16,Structural,Critical,Internal,Manual Testing,866.9585989337124
D00439,P002,2024-07-16,Functional,Minor,Component,Visual Inspection,37.46979420110364
D00440,P001,2024-02-16,Cosmetic,Minor,Surface,Manual Testing,82.17723691660083
D00441,P001,2024-03-18,Cosmetic,Minor,Component,Visual Inspection,32.18602371455731
D00442,P001,2024-05-03,Structural,Minor,Component,Manual Testing,54.64731065340541
D00443,P001,2024-03-15,Cosmetic,Moderate,Internal,Visual Inspection,238.02661285592592
D00444,P001,2024-12-24,Cosmetic,Moderate,Internal,Visual Inspection,224.8279458470899
D00445,P001,2024-05-16,Structural,Minor,Component,Manual Testing,47.220685116834375
D00446,P001,2024-03-30,Structural,Minor,Internal,Automated Testing,48.05268950399861
D00447,P003,2024-11-20,Structural,Minor,Internal,Manual Testing,50.657172079686646
D00448,P003,2024-03-01,Functional,Critical,Internal,Automated Testing,764.7195196091627
D00449,P003,2024-05-17,Cosmetic,Moderate,Component,Visual Inspection,257.8327470076946
D00450,P003,2024-02-19,Cosmetic,Minor,Internal,Manual Testing,83.15784502387027
D00451,P001,2024-09-15,Functional,Moderate,Component,Manual Testing,166.55049289952998
D00452,P003,2024-04-16,Functional,Moderate,Internal,Manual Testing,117.81182122525533
D00453,P001,2024-04-22,Cosmetic,Minor,Surface,Automated Testing,48.67576927473118
D00454,P003,2024-12-15,Structural,Critical,Internal,Automated Testing,1419.1302410370363
D00455,P002,2024-09-10,Cosmetic,Minor,Internal,Visual Inspection,37.944881480454036
D00456,P003,2024-04-27,Cosmetic,Minor,Component,Automated Testing,74.58675208166102
D00457,P003,2024-07-16,Cosmetic,Minor,Component,Automated Testing,75.1655122111466
D00458,P001,2024-12-02,Cosmetic,Minor,Internal,Visual Inspection,41.69617637438008
D00459,P003,2024-12-30,Cosmetic,Minor,Surface,Manual Testing,58.534746187779135
D00460,P002,2024-02-20,Cosmetic,Moderate,Internal,Manual Testing,297.70379738771226
D00461,P001,2024-09-01,Cosmetic,Minor,Internal,Visual Inspection,44.313083885187694
D00462,P001,2024-02-04,Functional,Moderate,Surface,Manual Testing,187.7851783938583
D00463,P003,2024-10-28,Functional,Minor,Component,Automated Testing,41.274786290770344
D00464,P001,2024-03-09,Functional,Minor,Internal,Visual Inspection,34.778649039607
D00465,P001,2024-12-14,Structural,Minor,Component,Visual Inspection,40.26083682400989
D00466,P001,2024-11-15,Cosmetic,Minor,Component,Visual Inspection,31.64089599856615
D00467,P001,2024-02-18,Cosmetic,Moderate,Surface,Manual Testing,202.04500809555356
D00468,P001,2024-03-14,Structural,Minor,Surface,Visual Inspection,38.450401534120374
D00469,P001,2024-07-10,Cosmetic,Minor,Component,Visual Inspection,53.50678867686121
D00470,P002,2024-09-17,Structural,Minor,Internal,Visual Inspection,26.66156530694559
D00471,P003,2024-12-21,Cosmetic,Moderate,Component,Manual Testing,219.85281393286743
D00472,P002,2024-03-10,Structural,Critical,Internal,Automated Testing,1000.0469507861419
D00473,P001,2024-03-30,Cosmetic,Moderate,Internal,Visual Inspection,80.37586144571267
D00474,P001,2024-09-16,Structural,Minor,Surface,Automated Testing,55.61084854771358
D00475,P003,2024-05-05,Functional,Minor,Internal,Manual Testing,68.41503488709938
D00476,P002,2024-08-18,Structural,Minor,Internal,Manual Testing,31.855384719631918
D00477,P003,2024-10-21,Cosmetic,Minor,Component,Manual Testing,75.08858580256555
D00478,P002,2024-05-08,Functional,Minor,Surface,Manual Testing,56.28528514049068
D00479,P001,2024-10-06,Structural,Minor,Internal,Automated Testing,39.424822163623865
D00480,P003,2024-11-08,Functional,Minor,Internal,Visual Inspection,49.16346383513441
D00481,P003,2024-04-09,Functional,Minor,Surface,Manual Testing,58.374903687825835
D00482,P001,2024-11-21,Functional,Moderate,Component,Manual Testing,204.56032348474469
D00483,P003,2024-10-23,Cosmetic,Minor,Surface,Automated Testing,58.08133988669554
D00484,P002,2024-06-30,Functional,Minor,Surface,Automated Testing,36.1898961038095
D00485,P002,2024-06-22,Functional,Moderate,Internal,Manual Testing,210.16164944216467
D00486,P002,2024-11-11,Structural,Minor,Internal,Visual Inspection,28.794282546425297
D00487,P002,2024-12-29,Cosmetic,Moderate,Component,Visual Inspection,193.32643631907797
D00488,P001,2024-07-06,Cosmetic,Minor,Internal,Manual Testing,36.44138537802815
D00489,P003,2024-02-26,Structural,Minor,Internal,Automated Testing,38.9670508611535
D00490,P002,2024-01-31,Structural,Moderate,Surface,Manual Testing,274.16559051262624
D00491,P001,2024-03-24,Cosmetic,Moderate,Internal,Manual Testing,265.4786072356561
D00492,P003,2024-05-31,Functional,Moderate,Component,Automated Testing,236.54828725443062
D00493,P003,2024-02-05,Cosmetic,Minor,Surface,Manual Testing,33.61530852991132
D00494,P001,2024-07-31,Cosmetic,Minor,Component,Manual Testing,45.25387325457797
D00495,P001,2024-12-29,Cosmetic,Minor,Surface,Manual Testing,68.19646549968775
D00496,P002,2024-04-15,Cosmetic,Minor,Internal,Automated Testing,52.12575370459857
D00497,P003,2024-12-07,Functional,Critical,Surface,Visual Inspection,1356.6390895956065
D00498,P003,2024-08-07,Cosmetic,Minor,Surface,Visual Inspection,55.89976759091558
D00499,P001,2024-06-11,Structural,Critical,Internal,Automated Testing,846.0917879576076
D00500,P003,2024-08-07,Structural,Minor,Internal,Visual Inspection,45.363253036962476
